  PID   TID   UID COMM                        CMDLINE                     CMD             LABEL                          STAT  WCHAN 
   35    35     0 [migration/4]               [migration/4]               migration/4     u:r:kernel:s0                  S     smpboot_thread_fn
   36    36     0 [ksoftirqd/4]               [ksoftirqd/4]               ksoftirqd/4     u:r:kernel:s0                  S     smpboot_thread_fn
   37    37     0 [kworker/4:0-events]        [kworker/4:0-events]        kworker/4:0-events u:r:kernel:s0               I     worker_thread
   38    38     0 [kworker/4:0H-kblockd]      [kworker/4:0H-kblockd]      kworker/4:0H-kblockd u:r:kernel:s0             I<    worker_thread
   39    39     0 [rcuog/4]                   [rcuog/4]                   rcuog/4         u:r:kernel:s0                  S     rcu_nocb_gp_kthread
   40    40     0 [rcuop/4]                   [rcuop/4]                   rcuop/4         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   41    41     0 [cpuhp/5]                   [cpuhp/5]                   cpuhp/5         u:r:kernel:s0                  S     smpboot_thread_fn
   42    42     0 [migration/5]               [migration/5]               migration/5     u:r:kernel:s0                  S     smpboot_thread_fn
   43    43     0 [ksoftirqd/5]               [ksoftirqd/5]               ksoftirqd/5     u:r:kernel:s0                  S     smpboot_thread_fn
   44    44     0 [kworker/5:0-rcu_gp]        [kworker/5:0-rcu_gp]        kworker/5:0-rcu_gp u:r:kernel:s0               I     worker_thread
   45    45     0 [kworker/5:0H-kblockd]      [kworker/5:0H-kblockd]      kworker/5:0H-kblockd u:r:kernel:s0             I<    worker_thread
   46    46     0 [rcuop/5]                   [rcuop/5]                   rcuop/5         u:r:kernel:s0                  R     0
   47    47     0 [cpuhp/6]                   [cpuhp/6]                   cpuhp/6         u:r:kernel:s0                  S     smpboot_thread_fn
   48    48     0 [migration/6]               [migration/6]               migration/6     u:r:kernel:s0                  S     smpboot_thread_fn
   49    49     0 [ksoftirqd/6]               [ksoftirqd/6]               ksoftirqd/6     u:r:kernel:s0                  S     smpboot_thread_fn
   50    50     0 [kworker/6:0-events]        [kworker/6:0-events]        kworker/6:0-events u:r:kernel:s0               I     worker_thread
   51    51     0 [kworker/6:0H-kblockd]      [kworker/6:0H-kblockd]      kworker/6:0H-kblockd u:r:kernel:s0             I<    worker_thread
   52    52     0 [rcuop/6]                   [rcuop/6]                   rcuop/6         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   53    53     0 [cpuhp/7]                   [cpuhp/7]                   cpuhp/7         u:r:kernel:s0                  S     smpboot_thread_fn
   54    54     0 [migration/7]               [migration/7]               migration/7     u:r:kernel:s0                  S     smpboot_thread_fn
   55    55     0 [ksoftirqd/7]               [ksoftirqd/7]               ksoftirqd/7     u:r:kernel:s0                  S     smpboot_thread_fn
   56    56     0 [kworker/7:0-events]        [kworker/7:0-events]        kworker/7:0-events u:r:kernel:s0               I     worker_thread
   57    57     0 [kworker/7:0H-kblockd]      [kworker/7:0H-kblockd]      kworker/7:0H-kblockd u:r:kernel:s0             I<    worker_thread
   58    58     0 [rcuop/7]                   [rcuop/7]                   rcuop/7         u:r:kernel:s0                  S     rcu_nocb_cb_kthread
   59    59     0 [netns]                     [netns]                     netns           u:r:kernel:s0                  I<    rescuer_thread
   60    60     0 [rcu_tasks_kthre]           [rcu_tasks_kthre]           rcu_tasks_kthre u:r:kernel:s0                  S     rcu_tasks_kthread
   61    61     0 [rcu_tasks_trace]           [rcu_tasks_trace]           rcu_tasks_trace u:r:kernel:s0                  S     rcu_tasks_kthread
   62    62     0 [kworker/4:1-rcu_gp]        [kworker/4:1-rcu_gp]        kworker/4:1-rcu_gp u:r:kernel:s0               I     worker_thread
   63    63     0 [kworker/1:1-rcu_gp]        [kworker/1:1-rcu_gp]        kworker/1:1-rcu_gp u:r:kernel:s0               I     worker_thread
   64    64     0 [kworker/6:1-rcu_gp]        [kworker/6:1-rcu_gp]        kworker/6:1-rcu_gp u:r:kernel:s0               I     worker_thread
   65    65     0 [kworker/5:1-rcu_gp]        [kworker/5:1-rcu_gp]        kworker/5:1-rcu_gp u:r:kernel:s0               I     worker_thread
   66    66     0 [kauditd]                   [kauditd]                   kauditd         u:r:kernel:s0                  S     kauditd_thread
   67    67     0 [qrtr_ns]                   [qrtr_ns]                   qrtr_ns         u:r:kernel:s0                  S     kthread_worker_fn
   68    68     0 [kworker/u16:1-kverityd]    [kworker/u16:1-kverityd]    kworker/u16:1-kverityd u:r:kernel:s0           I     worker_thread
   69    69     0 [kworker/u17:0-pil_workqueue] [kworker/u17:0-pil_workqueue] kworker/u17:0-pil_workqueue u:r:kernel:s0  I<    worker_thread
   70    70     0 [kworker/7:1-events]        [kworker/7:1-events]        kworker/7:1-events u:r:kernel:s0               I     worker_thread
   71    71     0 [kworker/2:1-events]        [kworker/2:1-events]        kworker/2:1-events u:r:kernel:s0               I     worker_thread
   72    72     0 [qmp_aop]                   [qmp_aop]                   qmp_aop         u:r:kernel:s0                  S     kthread_worker_fn
   73    73     0 [hh-watchdog]               [hh-watchdog]               hh-watchdog     u:r:kernel:s0                  S     qcom_wdt_kthread
   74    74     0 [oom_reaper]                [oom_reaper]                oom_reaper      u:r:kernel:s0                  S     oom_reaper
   75    75     0 [writeback]                 [writeback]                 writeback       u:r:kernel:s0                  I<    rescuer_thread
   76    76     0 [kcompactd0]                [kcompactd0]                kcompactd0      u:r:kernel:s0                  S     kcompactd
   93    93     0 [cryptd]                    [cryptd]                    cryptd          u:r:kernel:s0                  I<    rescuer_thread
  125   125     0 [kblockd]                   [kblockd]                   kblockd         u:r:kernel:s0                  I<    rescuer_thread
  126   126     0 [blk_crypto_wq]             [blk_crypto_wq]             blk_crypto_wq   u:r:kernel:s0                  I<    rescuer_thread
  127   127     0 [blkcg_punt_bio]            [blkcg_punt_bio]            blkcg_punt_bio  u:r:kernel:s0                  I<    rescuer_thread
  128   128     0 [irq/41-arm-smmu]           [irq/41-arm-smmu]           irq/41-arm-smmu u:r:kernel:s0                  S     irq_thread
  129   129     0 [irq/42-arm-smmu]           [irq/42-arm-smmu]           irq/42-arm-smmu u:r:kernel:s0                  S     irq_thread
  130   130     0 [governor_msm_ad]           [governor_msm_ad]           governor_msm_ad u:r:kernel:s0                  I<    rescuer_thread
  131   131     0 [irq/26-tsens-up]           [irq/26-tsens-up]           irq/26-tsens-up u:r:kernel:s0                  S     irq_thread
  132   132     0 [irq/27-tsens-cr]           [irq/27-tsens-cr]           irq/27-tsens-cr u:r:kernel:s0                  S     irq_thread
  133   133     0 [irq/29-tsens-up]           [irq/29-tsens-up]           irq/29-tsens-up u:r:kernel:s0                  S     irq_thread
  134   134     0 [irq/30-tsens-cr]           [irq/30-tsens-cr]           irq/30-tsens-cr u:r:kernel:s0                  S     irq_thread
  135   135     0 [edac-poller]               [edac-poller]               edac-poller     u:r:kernel:s0                  I<    rescuer_thread
  136   136     0 [irq/15-dcvsh-ir]           [irq/15-dcvsh-ir]           irq/15-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  137   137     0 [irq/16-dcvsh-ir]           [irq/16-dcvsh-ir]           irq/16-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  138   138     0 [irq/17-dcvsh-ir]           [irq/17-dcvsh-ir]           irq/17-dcvsh-ir u:r:kernel:s0                  S     irq_thread
  139   139     0 [core_ctl/0]                [core_ctl/0]                core_ctl/0      u:r:kernel:s0                  S     try_core_ctl
  140   140     0 [kworker/4:2-sock_diag_events] [kworker/4:2-sock_diag_events] kworker/4:2-sock_diag_events u:r:kernel:s0 I   worker_thread
  141   141     0 [core_ctl/4]                [core_ctl/4]                core_ctl/4      u:r:kernel:s0                  S     try_core_ctl
  142   142     0 [core_ctl/7]                [core_ctl/7]                core_ctl/7      u:r:kernel:s0                  S     try_core_ctl
  143   143     0 [kworker/4:3-events]        [kworker/4:3-events]        kworker/4:3-events u:r:kernel:s0               I     worker_thread
  144   144     0 [ion_system_heap]           [ion_system_heap]           ion_system_heap u:r:kernel:s0                  S     ion_heap_deferred_free
  145   145     0 [devfreq_wq]                [devfreq_wq]                devfreq_wq      u:r:kernel:s0                  I<    rescuer_thread
  146   146     0 [ipa_usb_wq]                [ipa_usb_wq]                ipa_usb_wq      u:r:kernel:s0                  I<    rescuer_thread
  147   147     0 [mpcie_wq]                  [mpcie_wq]                  mpcie_wq        u:r:kernel:s0                  I<    rescuer_thread
  148   148     0 [watchdogd]                 [watchdogd]                 watchdogd       u:r:kernel:s0                  S     kthread_worker_fn
  149   149     0 [ion-pool-uncach]           [ion-pool-uncach]           ion-pool-uncach u:r:kernel:s0                  SN    ion_msm_sys_heap_worker
  150   150     0 [ion-pool-cached]           [ion-pool-cached]           ion-pool-cached u:r:kernel:s0                  SN    ion_msm_sys_heap_worker
  151   151     0 [system]                    [system]                    system          u:r:kernel:s0                  S     ion_heap_deferred_free
  152   152     0 [cfg80211]                  [cfg80211]                  cfg80211        u:r:kernel:s0                  I<    rescuer_thread
  163   163     0 [kworker/3:1-events]        [kworker/3:1-events]        kworker/3:1-events u:r:kernel:s0               I     worker_thread
  183   183     0 [kswapd0:0]                 [kswapd0:0]                 kswapd0:0       u:r:kernel:s0                  S     kswapd
  184   184     0 [erofs_worker/0]            [erofs_worker/0]            erofs_worker/0  u:r:kernel:s0                  S     kthread_worker_fn
  185   185     0 [erofs_worker/1]            [erofs_worker/1]            erofs_worker/1  u:r:kernel:s0                  S     kthread_worker_fn
  186   186     0 [erofs_worker/2]            [erofs_worker/2]            erofs_worker/2  u:r:kernel:s0                  S     kthread_worker_fn
  187   187     0 [erofs_worker/3]            [erofs_worker/3]            erofs_worker/3  u:r:kernel:s0                  S     kthread_worker_fn
  188   188     0 [erofs_worker/4]            [erofs_worker/4]            erofs_worker/4  u:r:kernel:s0                  S     kthread_worker_fn
  189   189     0 [erofs_worker/5]            [erofs_worker/5]            erofs_worker/5  u:r:kernel:s0                  S     kthread_worker_fn
  190   190     0 [erofs_worker/6]            [erofs_worker/6]            erofs_worker/6  u:r:kernel:s0                  S     kthread_worker_fn
  191   191     0 [erofs_worker/7]            [erofs_worker/7]            erofs_worker/7  u:r:kernel:s0                  S     kthread_worker_fn
  193   193     0 [mem_share_svc]             [mem_share_svc]             mem_share_svc   u:r:kernel:s0                  I<    rescuer_thread
  194   194     0 [irq/298-smp2p]             [irq/298-smp2p]             irq/298-smp2p   u:r:kernel:s0                  S     irq_thread
  195   195     0 [irq/299-smp2p]             [irq/299-smp2p]             irq/299-smp2p   u:r:kernel:s0                  S     irq_thread
  196   196     0 [irq/300-smp2p]             [irq/300-smp2p]             irq/300-smp2p   u:r:kernel:s0                  S     irq_thread
  197   197     0 [irq/301-smp2p]             [irq/301-smp2p]             irq/301-smp2p   u:r:kernel:s0                  S     irq_thread
  199   199     0 [pmic_glink_rx]             [pmic_glink_rx]             pmic_glink_rx   u:r:kernel:s0                  I<    rescuer_thread
  200   200     0 [pmic_glink_rx]             [pmic_glink_rx]             pmic_glink_rx   u:r:kernel:s0                  I<    rescuer_thread
  201   201     0 [kworker/u17:1-pil_workqueue] [kworker/u17:1-pil_workqueue] kworker/u17:1-pil_workqueue u:r:kernel:s0  I<    worker_thread
  202   202     0 [cdsprm-wq]                 [cdsprm-wq]                 cdsprm-wq       u:r:kernel:s0                  S     process_cdsp_request_thread
  203   203     0 [cdsprm-wq-delay]           [cdsprm-wq-delay]           cdsprm-wq-delay u:r:kernel:s0                  I<    rescuer_thread
  204   204     0 [hyp_core_ctl]              [hyp_core_ctl]              hyp_core_ctl    u:r:kernel:s0                  S     hyp_core_ctl_thread
  205   205     0 [fb_flush]                  [fb_flush]                  fb_flush        u:r:kernel:s0                  D     kthread
  206   206     0 [mm_kevent]                 [mm_kevent]                 mm_kevent       u:r:kernel:s0                  I<    rescuer_thread
  207   207     0 [kworker/7:2-events]        [kworker/7:2-events]        kworker/7:2-events u:r:kernel:s0               I     worker_thread
  209   209     0 [kworker/7:3-events]        [kworker/7:3-events]        kworker/7:3-events u:r:kernel:s0               I     worker_thread
  210   210     0 [kworker/7:4-events]        [kworker/7:4-events]        kworker/7:4-events u:r:kernel:s0               I     worker_thread
  211   211     0 [kgsl-workqueue]            [kgsl-workqueue]            kgsl-workqueue  u:r:kernel:s0                  I<    rescuer_thread
  212   212     0 [kgsl-mementry]             [kgsl-mementry]             kgsl-mementry   u:r:kernel:s0                  I<    rescuer_thread
  213   213     0 [kgsl_worker_thr]           [kgsl_worker_thr]           kgsl_worker_thr u:r:kernel:s0                  S     kthread_worker_fn
  214   214     0 [qseecom-unreg-l]           [qseecom-unreg-l]           qseecom-unreg-l u:r:kernel:s0                  S     __qseecom_unregister_listener_kthread_func
  215   215     0 [qseecom-unload-]           [qseecom-unload-]           qseecom-unload- u:r:kernel:s0                  S     __qseecom_unload_app_kthread_func
  216   216     0 [uas]                       [uas]                       uas             u:r:kernel:s0                  I<    rescuer_thread
  217   217     0 [k_ipa_usb]                 [k_ipa_usb]                 k_ipa_usb       u:r:kernel:s0                  I<    rescuer_thread
  218   218     0 [irq/293-fifo-em]           [irq/293-fifo-em]           irq/293-fifo-em u:r:kernel:s0                  S     irq_thread
  219   219     0 [irq/282-qcom,te]           [irq/282-qcom,te]           irq/282-qcom,te u:r:kernel:s0                  S     irq_thread
  220   220     0 [kworker/0:1H-kblockd]      [kworker/0:1H-kblockd]      kworker/0:1H-kblockd u:r:kernel:s0             I<    worker_thread
  221   221     0 [kworker/1:1H-kblockd]      [kworker/1:1H-kblockd]      kworker/1:1H-kblockd u:r:kernel:s0             I<    worker_thread
  222   222     0 [kworker/2:1H-kblockd]      [kworker/2:1H-kblockd]      kworker/2:1H-kblockd u:r:kernel:s0             I<    worker_thread
  223   223     0 [kworker/3:1H-kblockd]      [kworker/3:1H-kblockd]      kworker/3:1H-kblockd u:r:kernel:s0             I<    worker_thread
  224   224     0 [kworker/4:1H-kblockd]      [kworker/4:1H-kblockd]      kworker/4:1H-kblockd u:r:kernel:s0             I<    worker_thread
  225   225     0 [kworker/5:1H-kblockd]      [kworker/5:1H-kblockd]      kworker/5:1H-kblockd u:r:kernel:s0             I<    worker_thread
  226   226     0 [kworker/6:1H-kblockd]      [kworker/6:1H-kblockd]      kworker/6:1H-kblockd u:r:kernel:s0             I<    worker_thread
  227   227     0 [kworker/7:1H-kblockd]      [kworker/7:1H-kblockd]      kworker/7:1H-kblockd u:r:kernel:s0             I<    worker_thread
  228   228     0 [irq/283-bcl-lvl]           [irq/283-bcl-lvl]           irq/283-bcl-lvl u:r:kernel:s0                  S     irq_thread
  229   229     0 [irq/284-bcl-lvl]           [irq/284-bcl-lvl]           irq/284-bcl-lvl u:r:kernel:s0                  S     irq_thread
  230   230     0 [irq/285-bcl-lvl]           [irq/285-bcl-lvl]           irq/285-bcl-lvl u:r:kernel:s0                  S     irq_thread
  231   231     0 [irq/290-bcl-lvl]           [irq/290-bcl-lvl]           irq/290-bcl-lvl u:r:kernel:s0                  S     irq_thread
  232   232     0 [irq/291-bcl-lvl]           [irq/291-bcl-lvl]           irq/291-bcl-lvl u:r:kernel:s0                  S     irq_thread
  233   233     0 [irq/292-bcl-lvl]           [irq/292-bcl-lvl]           irq/292-bcl-lvl u:r:kernel:s0                  S     irq_thread
  234   234     0 [irq/244-637000.]           [irq/244-637000.]           irq/244-637000. u:r:kernel:s0                  S     irq_thread
  235   235     0 [irq/245-635000.]           [irq/245-635000.]           irq/245-635000. u:r:kernel:s0                  S     irq_thread
  236   236     0 [dm_bufio_cache]            [dm_bufio_cache]            dm_bufio_cache  u:r:kernel:s0                  I<    rescuer_thread
  237   237     0 [irq/20-KRYO L3-]           [irq/20-KRYO L3-]           irq/20-KRYO L3- u:r:kernel:s0                  S     irq_thread
  238   238     0 [irq/288-flash_a]           [irq/288-flash_a]           irq/288-flash_a u:r:kernel:s0                  S     irq_thread
  239   239     0 [irq/287-flash_a]           [irq/287-flash_a]           irq/287-flash_a u:r:kernel:s0                  S     irq_thread
  240   240     0 [irq/286-flash_f]           [irq/286-flash_f]           irq/286-flash_f u:r:kernel:s0                  S     irq_thread
  241   241     0 [qcrypto_seq_res]           [qcrypto_seq_res]           qcrypto_seq_res u:r:kernel:s0                  I<    rescuer_thread
  242   242     0 [hh_rm_recv_task]           [hh_rm_recv_task]           hh_rm_recv_task u:r:kernel:s0                  S     hh_msgq_recv
  243   243     0 [memlat_wq]                 [memlat_wq]                 memlat_wq       u:r:kernel:s0                  I<    rescuer_thread
  244   244     0 [kworker/u16:2-ufs_clkscaling_0] [kworker/u16:2-ufs_clkscaling_0] kworker/u16:2-ufs_clkscaling_0 u:r:kernel:s0 I worker_thread
  246   246     0 [ipv6_addrconf]             [ipv6_addrconf]             ipv6_addrconf   u:r:kernel:s0                  I<    rescuer_thread
  247   247     0 [krfcommd]                  [krfcommd]                  krfcommd        u:r:kernel:s0                  S<    wait_woken
  248   248     0 [qrtr_rx]                   [qrtr_rx]                   qrtr_rx         u:r:kernel:s0                  S     kthread_worker_fn
  249   249     0 [recv_sync_threa]           [recv_sync_threa]           recv_sync_threa u:r:kernel:s0                  S     hh_dbl_validate_params
  250   250     0 [send_sync_threa]           [send_sync_threa]           send_sync_threa u:r:kernel:s0                  S     hh_dbl_validate_params
  251   251     0 [soc:qcom,svm_ne]           [soc:qcom,svm_ne]           soc:qcom,svm_ne u:r:kernel:s0                  D     protocol_block_server_thread
  252   252     0 [rq_stats]                  [rq_stats]                  rq_stats        u:r:kernel:s0                  I<    rescuer_thread
  253   253     0 [msm_perf:events]           [msm_perf:events]           msm_perf:events u:r:kernel:s0                  S     events_notify_userspace
  254   254     0 [ipa_power_mgmt]            [ipa_power_mgmt]            ipa_power_mgmt  u:r:kernel:s0                  I<    rescuer_thread
  255   255     0 [transport_power]           [transport_power]           transport_power u:r:kernel:s0                  I<    rescuer_thread
  256   256     0 [ipa_pm_activate]           [ipa_pm_activate]           ipa_pm_activate u:r:kernel:s0                  I<    rescuer_thread
  257   257     0 [rmnet_ctlwq]               [rmnet_ctlwq]               rmnet_ctlwq     u:r:kernel:s0                  I<    rescuer_thread
  258   258     0 [kworker/u16:3-devfreq_wq]  [kworker/u16:3-devfreq_wq]  kworker/u16:3-devfreq_wq u:r:kernel:s0         I     worker_thread
  259   259     0 [hwrng]                     [hwrng]                     hwrng           u:r:kernel:s0                  S     add_hwgenerator_randomness
  260   260     0 [irq/53-arm-smmu]           [irq/53-arm-smmu]           irq/53-arm-smmu u:r:kernel:s0                  S     irq_thread
  261   261     0 [irq/54-arm-smmu]           [irq/54-arm-smmu]           irq/54-arm-smmu u:r:kernel:s0                  S     irq_thread
  262   262     0 [irq/59-arm-smmu]           [irq/59-arm-smmu]           irq/59-arm-smmu u:r:kernel:s0                  S     irq_thread
  263   263     0 [usb_bam_wq]                [usb_bam_wq]                usb_bam_wq      u:r:kernel:s0                  I<    rescuer_thread
  264   264     0 [irq/152-pwr_eve]           [irq/152-pwr_eve]           irq/152-pwr_eve u:r:kernel:s0                  S     irq_thread
  265   265     0 [irq/151-dp_hs_p]           [irq/151-dp_hs_p]           irq/151-dp_hs_p u:r:kernel:s0                  S     irq_thread
  266   266     0 [irq/154-dm_hs_p]           [irq/154-dm_hs_p]           irq/154-dm_hs_p u:r:kernel:s0                  S     irq_thread
  267   267     0 [irq/153-ss_phy_]           [irq/153-ss_phy_]           irq/153-ss_phy_ u:r:kernel:s0                  S     irq_thread
  268   268     0 [msm_vidc_worker]           [msm_vidc_worker]           msm_vidc_worker u:r:kernel:s0                  I<    rescuer_thread
  269   269     0 [pm_workerq_venu]           [pm_workerq_venu]           pm_workerq_venu u:r:kernel:s0                  I<    rescuer_thread
  270   270     0 [vidc_core_workq]           [vidc_core_workq]           vidc_core_workq u:r:kernel:s0                  I<    rescuer_thread
  271   271     0 [irq/62-arm-smmu]           [irq/62-arm-smmu]           irq/62-arm-smmu u:r:kernel:s0                  S     irq_thread
  272   272     0 [irq/63-arm-smmu]           [irq/63-arm-smmu]           irq/63-arm-smmu u:r:kernel:s0                  S     irq_thread
  273   273     0 [irq/64-arm-smmu]           [irq/64-arm-smmu]           irq/64-arm-smmu u:r:kernel:s0                  S     irq_thread
  274   274     0 [irq/65-arm-smmu]           [irq/65-arm-smmu]           irq/65-arm-smmu u:r:kernel:s0                  S     irq_thread
  275   275     0 [irq/66-arm-smmu]           [irq/66-arm-smmu]           irq/66-arm-smmu u:r:kernel:s0                  S     irq_thread
  276   276     0 [byte-cntr]                 [byte-cntr]                 byte-cntr       u:r:kernel:s0                  I<    rescuer_thread
  277   277     0 [etr_pcie]                  [etr_pcie]                  etr_pcie        u:r:kernel:s0                  I<    rescuer_thread
  278   278     0 [irq/43-arm-smmu]           [irq/43-arm-smmu]           irq/43-arm-smmu u:r:kernel:s0                  S     irq_thread
  279   279     0 [kgsl-events]               [kgsl-events]               kgsl-events     u:r:kernel:s0                  I<    rescuer_thread
  280   280     0 [irq/44-arm-smmu]           [irq/44-arm-smmu]           irq/44-arm-smmu u:r:kernel:s0                  S     irq_thread
  281   281     0 [irq/45-arm-smmu]           [irq/45-arm-smmu]           irq/45-arm-smmu u:r:kernel:s0                  S     irq_thread
  282   282     0 [irq/46-arm-smmu]           [irq/46-arm-smmu]           irq/46-arm-smmu u:r:kernel:s0                  S     irq_thread
  283   283     0 [kgsl_devfreq_wq]           [kgsl_devfreq_wq]           kgsl_devfreq_wq u:r:kernel:s0                  I<    rescuer_thread
  284   284     0 [msm_cvp_workerq]           [msm_cvp_workerq]           msm_cvp_workerq u:r:kernel:s0                  I<    rescuer_thread
  285   285     0 [pm_workerq_iris]           [pm_workerq_iris]           pm_workerq_iris u:r:kernel:s0                  I<    rescuer_thread
  286   286     0 [irq/67-arm-smmu]           [irq/67-arm-smmu]           irq/67-arm-smmu u:r:kernel:s0                  S     irq_thread
  287   287     0 [irq/68-arm-smmu]           [irq/68-arm-smmu]           irq/68-arm-smmu u:r:kernel:s0                  S     irq_thread
  288   288     0 [irq/69-arm-smmu]           [irq/69-arm-smmu]           irq/69-arm-smmu u:r:kernel:s0                  S     irq_thread
  289   289     0 [cvp-dsp-thread]            [cvp-dsp-thread]            cvp-dsp-thread  u:r:kernel:s0                  S     cvp_dsp_thread
  290   290     0 [irq/70-arm-smmu]           [irq/70-arm-smmu]           irq/70-arm-smmu u:r:kernel:s0                  S     irq_thread
  291   291     0 [irq/71-arm-smmu]           [irq/71-arm-smmu]           irq/71-arm-smmu u:r:kernel:s0                  S     irq_thread
  292   292     0 [irq/72-arm-smmu]           [irq/72-arm-smmu]           irq/72-arm-smmu u:r:kernel:s0                  S     irq_thread
  293   293     0 [mem_buf_rcvr]              [mem_buf_rcvr]              mem_buf_rcvr    u:r:kernel:s0                  S     hh_msgq_recv
  294   294     0 [irq/73-arm-smmu]           [irq/73-arm-smmu]           irq/73-arm-smmu u:r:kernel:s0                  S     irq_thread
  295   295     0 [irq/74-arm-smmu]           [irq/74-arm-smmu]           irq/74-arm-smmu u:r:kernel:s0                  S     irq_thread
  296   296     0 [irq/75-arm-smmu]           [irq/75-arm-smmu]           irq/75-arm-smmu u:r:kernel:s0                  S     irq_thread
  297   297     0 [irq/76-arm-smmu]           [irq/76-arm-smmu]           irq/76-arm-smmu u:r:kernel:s0                  S     irq_thread
  298   298     0 [irq/77-arm-smmu]           [irq/77-arm-smmu]           irq/77-arm-smmu u:r:kernel:s0                  S     irq_thread
